ID,Nome,Descricao,Bairro,Endereco,latitude,longitude
185,Praça Movicar,Praça,Areias,Rua Capitao Joao Lopes/R Capitao Vicente Moutinho/R Capitao Jeronimo Amaral,-8.093465192,-34.93254057
186,Praça das Criancas,Praça,Areias,Rua Luiz Sepulveda/Rua Capitao Paulo Teixeira/Rua Capitao Domingos Da Costa,-8.098665789,-34.93360387
187,Praça Pedro Brandão,Praça,Areias,Rua Jeronimo Inojosa/Rua Sargento Afonso Rodrigues/R Francisco Do Rego/R Capitao Francisco Da Rocha,-8.097704971,-34.93173386
188,Praça Eduardo Cardoso/Gregório Albuquerque,Praça,Areias,Rua Alvaro Fragoso/R Bento Teixeira/R Capitao Gregorio De Albuquerque/Trv Capitao G De Albuquerque,-8.09643717,-34.93142046
189,Praça Irmã Douraci,Praça,Mustardinha,Largo Da Mustardinha/Avenida Manoel Goncalves Da Paz/,-8.07181677,-34.91832397
190,Praça El Salvador,Praça,Jardim Sao Paulo,Avenida Sao Paulo,-8.076677599,-34.94207711
191,Praça Noel Rodrigues,Praça,San Martin,Rua Guy Bastos Junior/ R Comendador Franco Ferreira/Trv Comendador F Ferreira/ Avenida General San Martin,-8.067143641,-34.92752222
192,Praça Noel Rodrigues,Praça,San Martin,Rua Guy Bastos Junio/ Rua Comendador Franco Ferreira/ Avenida General San Martin,-8.066568087,-34.92736969
193,Praça Dom Bosco,Praça,San Martin,Rua Mineirolandia/Rua Tenente Mindelo,-8.075048933,-34.9299451
194,Praça Nossa Senhora de Fátima,Praça,San Martin,Rua Professor Silvio Da Cunha Santos/R Dr Telesphoro Fragoso/Rua Pedro Melo,-8.072333057,-34.93061711
195,Praça professora Antonia Galvão,Praça,Agua Fria,Rua Alegre / R Julio Ramos/ Rua Zeferino Agra,-8.021164799,-34.89318526
196,Praça desenhista Eulino Santos,Praça,Arruda,Rua Da Regeneracao/R Desenhista Eulino Santos,-8.022917866,-34.88311476
197,Praça do Cajueiro,Praça,Cajueiro,Rua Tenente Wanderley/R Maria Cristina Tasso De Souza/R Couto Soares,-8.01281867,-34.88307815
198,Praça Sementes do Amanhã,Praça,Campina Do Barreto,Avenida Sebastiao Salazar/ Rua Couto Soares,-8.013098914,-34.88177275
199,Praça do Colégio Jarbas Pernambucano,Praça,Cajueiro,Avenida Sebastiao Salazar/ Rua Barao De Tamandare,-8.011087595,-34.88380149
200,Praça Lagoa do Araça,Parque,Imbiribeira,Rua Jose Ferreira Lins / Rua Engenheiro Jose Brandao Cavalcante,-8.094360461,-34.91491461
201,Praça Rádio Capibaribe,Praça,Campina Do Barreto,Rua Coronel Urbano Ribeiro De Sena/Rua Noroeste,-8.014349772,-34.88321901
202,Praça Rádio Capibaribe,Praça,Campina Do Barreto,Rua Coronel Urbano Ribeiro De Sena,-8.013924604,-34.88304571
203,Praça da Igreja,Praça,Cohab,Rua Capitao Pero Miranda,-8.129980705,-34.94806974
204,Praça do Comar,Praça,Dois Unidos,Rua Joao Cavalcante Petribu/Rua Hidelbrando De Vasconcelos,-7.990179773,-34.91556605
205,Praça Raizes,Praça,Cohab,Rua Engenho Bem Querer / Rua Engenho Bela Flor / R Engenho Barra Branca / R Engenho Bela Rosa,-8.112185887,-34.95060483
206,Praça da Amizade,Praça,Torroes,Rua Leila Felix Karam/Rua Dr Aniceto Ribeiro Varejao/R Des Capistrano De Moraes E Silva,-8.065087774,-34.93222682
207,Praça do Fundão,Praça,Fundao,Avenida Beberibe,-8.013909336,-34.88944698
208,Praça Professor Trajano,Praça,Torre,Rua Prof Trajano De Mendonca / R Jose De Holanda / R Real Da Torre,-8.044982837,-34.90996987
209,Praça São Francisco de Assis,Praça,Varzea,Rua Vale Do Siriji /R Vale Do Jaguaribe/ R Soldado Jose Vivancio,-8.036490888,-34.9757881
210,Praça Tamarindo,Praça,Cohab,Rua Engenho Firmeza / Rua Engenho Timbi / Rua Engenho Tabare / Rua Engenho Segredo,-8.114388946,-34.9501783
211,Praça  João Maurício Campos,Praça,Cohab,Rua Tenente Joao Mauricio Campos / Rua Capitao Luiz Dorneles,-8.121774812,-34.94565974
212,Praça Artur Lima Cavalcanti,Praça,Santo Amaro,Avenida Prefeito Artur Lima Cavalcanti,-8.045358016,-34.874266
213,Praça da travessa José Leite,Praça,Pina,Travessa Jose Leite,-8.089403777,-34.88886883
214,Praça Luiz Americo Willians,Praça,Cohab,Rua Engenho Belo Prado / Rua Engenho Bom Mirar/R Engenhoc Serra Grande/ Rua Engenho Flor Do Bosque,-8.113285082,-34.95039008
215,Praça João Rique,Praça,Iputinga,Rua  Joao Rique/Rua Lucilo Varejao/ Rua Des Oscar Coutinho,-8.032167777,-34.93204838
216,Praça José Maria do Nascimento Paraíba/Lixão,Praça,Cohab,Rua Juparana / Rua Codajas / Avenida Valenca,-8.119127435,-34.95361817
217,Praça da rua ABC,Praça,Afogados,Rua Abc / Rua Aprigio Alves,-8.082779575,-34.91067924
218,Praca Santa Luzia,Praça,Cohab,Rua Lupianopolis / Rua Mandaguacu / Rua Manduri / Rua Rio Paracatu,-8.115719677,-34.95500836
219,Praça Brasilit,Praça,Varzea,Rua Engenheiro Vasconcelos Bittencourt/ Rua Abatia,-8.041706266,-34.95026367
220,Praça Sabere,Praça,Varzea,Rua Emeterio Maciel/ Rua Frutuoso Gomes/Trv Frutuoso Gomes,-8.03727147,-34.95239724
221,Praça Quitéria,Praça,Varzea,Rua Joao Francisco Lisboa/Rua Michael Felix Karan/Rua Quiteria,-8.052537548,-34.95636268
222,Praça Carmela Dutra/Ipiranga,Praça,Afogados,Rua General Souza Doca/Rua General Guimaraes Cova,-8.078167137,-34.91432807
223,Praça Isabel Cabral,Praça,Afogados,Rua Vicente Ribeiro De Barros/Rua Luis De Franca Da Costa Cabral,-8.080062722,-34.91913278
224,Praça Joaquim Cardoso/da Biblioteca,Praça,Afogados,Rua Francisco Uchoa/Rua Prof Augusto Wanderley Filho/Rua Jacira,-8.082177592,-34.9080519
225,Praça João Miguel de Souza Junior,Praça,Engenho Do Meio,R Valdemar Falcao / Avenida Visconde De Sao Leopoldo/R Dom Joao Moura/Trv Valdemar Falcao,-8.058880804,-34.94576938
226,Praça João Miguel de Souza Junior,Praça,Engenho Do Meio,Rua Dom Joao Moura/ Trv Valdemar Falcao/ R Jose Dos Santos/Avenida Visconde De Sao Leopoldo,-8.059468402,-34.94566536
227,Praça Sítio das Palmeiras,Praça,Engenho Do Meio,Rua  Alvaro Texeirade Mesquita/ Rua Bom Pastor /Rua Presidente Washington Luiz,-8.051317352,-34.93922838
228,Praça Maria Sampaio Lucena,Praça,Cohab,Avenida Pernambuco / Rua Santa Maria Madalena,-8.120939851,-34.94593532
229,Praça Paulo Freire,Praça,Madalena,Avenida Beira Rio /Rua Demostenes De Olinda,-8.04977648,-34.90498149
230,Praça do Finado Leiteiro,Praça,Cohab,Rua Serra Bonga / Rua Parintins / Rua Sabara / Rua Paulista,-8.120234711,-34.94726276
231,Parque Doutor Arnaldo Assunção,Parque,Engenho Do Meio,Rua Antonio Borges Uchoa/ Rua Antonio Curado/ R Manuel Alves Deusdara / R Governador Lopo Garro,-8.057223142,-34.94285155
232,Praça Coronel Silva Torres,Praça,Derby,Rua Coronel Silva Torres (Area Militar),-8.053406687,-34.90355401
233,Praça da Rua Cordislândia,Praça,Iputinga,Avenida Marechal Cordeiro De Farias/ Rua Cordislandia/ R Cristovao Cavalcanti,-8.039633133,-34.93494625
234,Praça da Alegria,Praça,Boa Vista,Rua Des Cunha Barreto/ Rua Da Alegria,-8.063708519,-34.88698962
235,Praça da Comunidade,Praça,Cohab,Rua Rio Indaia / Rua Rio Parnaiba / Rua Rio Juruena / Rua Rio Tapajos,-8.116194218,-34.94763521
236,Praça do Forte do Brum,Praça,Recife,Avenida Militar,-8.052791938,-34.87148251
237,Praça Cívica,Praça,Santo Amaro,Rua Alexandre Moura/ Avenida Cruz Cabuga,-8.046881037,-34.87599171
238,Praça do Escorrego,Praça,Cohab,Avenida Pernambuco / Rua Rio Arinos / Rua Rio Indaia / Rua Rio Caqueta,-8.11750539,-34.94688157
239,Praça Estevão de Sá,Praça,Varzea,Avenida Caxanga/ Rua Caxanga Agape,-8.036645069,-34.94648015
240,Praça da Rua Caxangá Agape,Praça,Varzea,Avenida Caxanga/Rua Caxanga Agape,-8.036157479,-34.94740386
241,Praça Herois da Restauração /do Buraco,Praça,Areias,Rua Caja/Rua Oiticica Lins/Rua Calumbi /Rua Ipojuca,-8.097417499,-34.93563583
242,Praça Cristo Rei,Praça,Cohab,Rua Sao Fidelis / Rua Diamantino / Rua Joanesia / Rua Marlieria,-8.120631578,-34.95473409
243,Praça Engenho Poeta/do Rotary,Praça,Varzea,Avenida Caxanga/ Rua Pedro Lund,-8.034238461,-34.95088649
244,Praça Monsenhor Arruda Camara,Praça,Areias,Rua Antonio Vaz/Rua General Francisco Figueiroa,-8.091585271,-34.93027685
245,Praça José Cicílio,Praça,Areias,Rua Capitao Jeronimo Amaral/ R Capitao Vicente Moutinho/Rua Capitao Amador Rodrigues,-8.094189484,-34.9332826
246,Praça Antonio Bezerra Pontes,Praça,Areias,Praca Do Sena/Rua Capitao Fernao De Melo/Rua Capitao Domingos Da Costa,-8.096969362,-34.93386564
247,Praça da Mentira,Praça,Areias,Rua Capitao Amaro Cerqueira/ Rua Sargento Afonso Rodrigues/ R Cap F Da Rocha/ R Cap A Do Rego,-8.096804269,-34.9326179
248,Praça da Rua Água Preta,Praça,Cohab,Rua Gloria Do Goita / Rua Jaboataorua Agua Preta / Rua Lagoa De Itaenga,-8.123178781,-34.94748407
249,Praça da Vtiória,Praca,Areias,Rua Capitao Gregorio De Albuquerque/Avenida Izabel De Goes,-8.094423466,-34.93421939
250,Praça da Avenida da Recuperação,Praça,Guabiraba,Avenida Da Recuperacao,-7.987094409,-34.93509587
251,Praça Vale do Siriji,Praça,Varzea,Rua Vale Do Siriji/ Rua Americo Virgilio,-8.036230847,-34.97685972
252,Praça da Rua Solanea,Praça,Cohab,Rua Solanea/ Rua Mundau/ Rua Pirpirituba/ Rua Guaraquebaca,-8.116536938,-34.95369235
253,Praca Arlindo Araujo Filho,Praca,San Martin,Rua Professor José Calazans / 1º Travessa Da Rua Manuel Vieira,-8.070507075,-34.93289333
254,Praça Cais Edgar Amorim,Praça,Jaqueira,Avenida Rui Barbosa,-8.037148563,-34.90625213
255,Parque Dona Lindu,Parque,Boa Viagem,Avenida Boa Viagem,-8.14134971,-34.90415197
256,Praça Professor Rutilho,Praca,Coqueiral,Rua Professor Rutilho/Rua Inaja/Rua Alcantara/Rua Pagy,-8.088984264,-34.96728722
257,Praça Professor Rutilho,Praca,Coqueiral,Rua Professor Rutilho/Rua Inaja,-8.088673735,-34.96701413
258,Praça Simon Bolivar,Praça,Santo Amaro,Avenida Governador Agamenon Magalhaes/ Avenida Cruz Cabuga,-8.03719613,-34.87002708
259,Praça Simon Bolivar,Praça,Santo Amaro,Avenida Gov Agamenon Magalaes/ Avenida Cruz Cabuga,-8.03754857,-34.87007163
260,Praça Memorial Arco Verde,Parque,Santo Amaro,Avenida Agamenon Magalhaes/ Avenida Cruz Cabuga,-8.036608071,-34.87010932
261,Praça Memorial Arco Verde,Parque,Campo Grande,Avenida Agamenon Magalhaes/ Avenida Cruz Cabuga,-8.03610835,-34.87077364
262,Praça da Avenida Maurício de Nassau,Praca,Cordeiro,Avenida Mauricio Da Nassau/Rua Luiz Carlos Guilherme,-8.043500973,-34.92234616
263,Praça da Avenida Maurício de Nassau,Praca,Cordeiro,Avenida Mauricio De Nassau/ Rua Luiz Carlos Guilherme,-8.043888562,-34.92246046
264,Praça Silva Jardim,Praça,Monteiro,Avenida Dezessete De Agosto/ Rua Temporal,-8.02777343,-34.92886297
265,Praça Quartel General,Praca,Boa Vista,Rua Do Hospicio/ Rua Do Principe,-8.05811559,-34.88327215
266,Praça José da Mota Silveira,Praça,Madalena,Rua Arlindo Gouveia/Avenida Beira Rio,-8.0564113,-34.90379033
267,Praça Joca Leal,Praça,Casa Amarela,Largo De Casa Amarela/ Rua Santa Izabel,-8.026715931,-34.91874033
268,Praça Amaro Lopes/da Fumaça,Praça,Alto Jose Do Pinho,Rua Principal / Rua Monte Horeb,-8.023460228,-34.90806016
269,Parque Sítio da Trindade/Arraial V. do Bom Jesus,Parque,Casa Amarela,Estrada Do Arraial / Estrada De Entrocamento/Rua Pedro Afonso,-8.030021972,-34.91275685
270,Praça José Bonifácio,Praça,Alto Jose Bonifacio,Trv Corrego Do Euclides/R Alto Jose Bonifacio/ R Alto Da Serrinha/R Alto Da Conquista/Rua Sao Jose,-8.012440826,-34.91357212
271,Praça Jenner de Souza,Praca,Derby,Rua Amaro Bezerra/ R Jenner De Souza,-8.054924707,-34.90034744
272,Praça Otávio de Freitas,Praça,Derby,Rua Jener De Souza/ Rua Amauri De Medeiros,-8.057887213,-34.90050161
273,Praça da Rua José Pimentel,Praça,Ipsep,Rua Jose Pimentel/Rua Candido Portinari/Rua Adolfo Ferreira/Rua Fernando Ferrari,-8.114548305,-34.91848104
274,Largo Dom Luiz,Praça,Vasco Da Gama,Largo Dom Luiz / Avenida Norte Miguel Arraes De Alencar,-8.020885691,-34.91734692
275,Praça General Euler Bentes/da Sudene,Praça,Ipsep,Rua Jean Emile Favre/Rua Sartunino Meireles/Avenida Raimundo Diniz/Rua Silveira Neto,-8.113887535,-34.92190533
276,Praça do Monteiro,Praça,Cohab,Rua Soldado Antonio Aparecido/ Rua Sargrnto Rubens Leite/,-8.127494322,-34.94578104
277,Praça Maria Vitalina Gonçalves da Rocha,Praça,Bongi,Rua Dona Maria Augusta Nogueira/Rua Isaac Markman,-8.063929747,-34.92180501
278,PRC SENHOR BARTOLOMEU,Praça,Macaxeira,Rua Coronel João Batista Do Rego Barros/ Rua Antonio  Batista De Souza,-8.017911929,-34.93295864
279,Praça da Quadra,Praça,Vasco Da Gama,Rua Cassatuba/Rua Catigua,-8.012731231,-34.92137623
280,Praça Sitio Grande,Praça,Alto Do Mandu,Avenida Norte Miguel Arraes,-8.019765636,-34.92688557
281,Praça Nadir Colaco,Praça,Macaxeira,Avenida Norte Miguel Arraes De Alencar/ Rua Ana/ R Pedro Paes De Mendonca,-8.016750179,-34.92925896
282,Praça José Vieira,Praça,Imbiribeira,Rua Engenho Carauna/ Rua Manoel Serafim Do Couto,-8.087220203,-34.90516133
283,Praça José Vieira,Praça,Imbiribeira,Rua Engenho Agua Clara/ Rua Manoel Serafim Do Couto,-8.086877574,-34.90536075
284,Praça da Morena,Praça,Cohab,Avenida Rio Grande / Rua Rio Jaró / Rua Rio Uruguai,-8.116369718,-34.94830291
285,Praça da Morena,Praça,Cohab,Avenida Rio Grande / Rua Rio Gurupí/ Rua  Rio Parauá,-8.11617109,-34.94890321
286,Praça Campo do Lagoão,Praça,Cohab,Rua Dr Cezar Montezuma / Rua Alfredo Martins De Almeida,-8.128845111,-34.95083215
287,Praça Boco-Moco/da UR 5,Praça,Cohab,Rua Joao Joaquim De Mello Filho/R Gal Coelho Cintra/ R Des Thomaz C Wanderley/R Alvarenga Peixoto,-8.132747044,-34.94970258
288,Praça Nova Esperança,Praça,Iputinga,Rua Nova Alianca (Vila Uniao),-8.030824123,-34.93262109
289,Praça Maracangaia,Praça,Cohab,Rua Guaratuba/Rua Manacapuru/Rua Pirpirituba/Rua Obidos,-8.116811063,-34.9546874
290,Parque Exposição do Cordeiro,Parque,Cordeiro,Avenida Mauricio De Nassau/ Rua Costa Maia/ Avenida Caxanga/ Rua Antero Mota,-8.044744487,-34.92535678
291,Praça Flor de Cheiro,Praça,Cohab,Rua Quirinópolis / Rua Currais Novos/ Rua Maua/ Rua Itaperuna/,-8.120125345,-34.95710594
292,Praça João Felipe Santiago,Praça,Cohab,Rua Sapucaia / Avenida Santa Fe,-8.118819683,-34.95492513
293,Praça Gonçalo Leitão,Praça,Cohab,Rua Cientista Nelson Chaves / Rua Capitao Joao De Albuquerque / Rua Goncalo Leitao,-8.128727997,-34.94708775
294,Praça da rua Itacambira,Praça,Ipsep,Rua Itanage/Rua Potengy/Rua Itacambira/Trv Itanage,-8.105712489,-34.91999826
295,Praça da Rua Arquiteto Luiz Nunes,Praça,Imbiribeira,Rua Frederico Lundgren / Rua Olivia Menelau,-8.089276206,-34.91049532
296,Praça da Avenida Engenheiro Abdias de Carvalho,Praça,Curado,Rua Dr Flavio Ferreira Da Silva Marojo/ Avenida Engenheiro Abdias De Carvalho,-8.067910349,-34.93832462
297,Praça da Avenida Engenheiro Abdias de Carvalho,Praça,Torroes,Rua Dr Flavio Ferreira Da Silva Marojo/ Avenida Engenheiro Abdias De Carvalho,-8.065952236,-34.93789124
298,Praça do Largo da ponte do Motocolombo,Praça,Afogados,Avenida Sul/Avenida Marechal Mascarenhas De Moraes,-8.082850417,-34.90642201
299,Praça Rafael de Oliveira Alves,Praça,Jardim Sao Paulo,Rua Jundiai/ Alca Do Viaduto Da Ceasa,-8.075239891,-34.94558515
300,Praça Truaca/Tempo de Crescer,Praça,Cohab,Rua Engenho Mata Limpa / R Engenho Terra Vermelha / R Engenho Laje Bonita / R Engenho Pedra Lavrada,-8.111212827,-34.95146858
301,Praça Tempo de Crescer,Praça,Cohab,Rua Engenho Linda Flor/ Rua Engenho Duas Barras/ R Engenho Laje Bonita,-8.111087025,-34.95081999
302,Praça Luiz de Lacerda,Praça,Iputinga,Avenida Luiz De Lacerda/Rua Veneza/Avenida Historiador Jordao Emerenciano,-8.036268228,-34.94338123
303,Praça do Caixito,Praça,San Martin,Rua Flora Rica /Rua Pedro Boulitreau/ Rua Farroupilha,-8.074056853,-34.93108626
304,Praça Boco-Moco/da UR 5,Praça,Cohab,Rua Afonso Arinos/ R Arq Reinaldo Alves Maia/ R Des Thomaz C  Wanderley/ R Arq Maria Lucia Barbosa,-8.133478736,-34.95051865
305,Praça Ministro Salgado Filho,Praça,Ibura,Avenida Marechal Mascarenhas De Moraes,-8.133597383,-34.91695028
306,Praça da Rua Riacho Doce,Praça,Cohab,Rua Riacho Doce / Rua Engenho Barra Azul / Rua Engenho Bela Vida,-8.112307346,-34.95126004
307,Praça Monteiro Lobato,Praça,Cohab,Rua Pedro Malazarte / Rua Marquês De Rabico / Rua Do Garnize,-8.131932272,-34.94735949
308,Praça Robert Kennedy/da Juventude,Parque,Ipsep,Rua Frof Nelson Melo/R Estudante Sinval Meira Henrique/Avenida Sen Robert Kennedy/R Dr Ruy L  Cavalcanti,-8.116369686,-34.91858583
309,Praça da rua João Guilherme,Praça,Ipsep,Rua Jose Pimentel/R Esperidiao Cordeiro De Morais/R Antonio Conselheiro/R Joao Guilherme,-8.115386499,-34.91944517
310,Praça da rua Junqueira Freire,Praça,Ipsep,Rua Jose D'Emery Carneiro/Rua Albino Reine/R Antonio Conselheiro/Rua Junqueira Freire,-8.116225406,-34.92041192
311,Praça da rua Leonardo da Vinci,Praça,Imbiribeira,Rua Leonardo Da Vinci/ Rua Goncalves De Magalhaes/  Rua Bernardino Da Costa,-8.117564241,-34.91620587
312,Praça Encanta Moça/Posto Policial,Praça,Pina,Rua Artur Licio,-8.093072428,-34.88864188
313,Praça arquiteta Maria Lucia,Praça,Ipsep,Rua Esdras Farias/Rua Helio Brandao/Rua Americo De Campos/Rua Abdias Cabral De Moura,-8.103822755,-34.92671357
314,Praca Mauriceia,Praça,Ipsep,Rua Araraquara/Rua Itaquice/Rua Jean Emile Favre/ Rua Aracatuba,-8.107793342,-34.91646488
315,Praça do Jacaré,Praça,Imbiribeira,Rua Raul Leoni/ Rua Simoes Neto/ Rua Edward Jenner/ R Deputado Antonio Heraclio,-8.118242401,-34.91781849
316,Praça Josen Demery Carneiro,Praça,Ipsep,Rua Jose D'Emery Carneiro/ R Inez De Castro/R Aristharcho Lopes/R Dr Samuel Hardman C De Albuquerque,-8.117063431,-34.92137852
317,Praça Lins do Rego/dos Brotos,Praça,Imbiribeira,Rua Lins Do Rego/ Rua Lopes Trovao/ Rua Paulo De Prontin/ Rua Manuel De Macedo,-8.118709463,-34.91914364
318,Praça Circular do Alto Jordão,Praça,Jordao,Rua Toritama / Avenida Dona Carentina,-8.134237437,-34.94381569
319,Praça Mercado Municipal da UR-5,Praça,Cohab,Rua Dr Otavio Moraes Vasconcelos / Rua Capitao Vicente Curado,-8.132432675,-34.94882182
320,Praça da rua Elza Leal Wanderley,Praça,Ipsep,Rua Eliza Leal Wanderley/Rua Deputado Celso Miranda/Rua Alaide Sa Leitao/ Avenida Presidente Dutra,-8.110108388,-34.92662342
321,Praça da rua Rosa M. de Melo,Praça,Ipsep,Rua Deputado Edson Moury Fernandes/R Rosa Magalhaes/Avenida Pres Dutra/R Maria Jose Mota Da Silveira,-8.108636596,-34.92682751
322,Praça do S,Praça,Cohab,Avenida Mato Grosso / Rua Rio Ica / Rua Rio Ivo,-8.122273432,-34.94705778
323,Praça Todos os Santos,Praça,Cohab,Rua Todos Os Santos/ Rua Sepetiba/ Rua Piassabussu/Rua Ilheus,-8.121080341,-34.95345689
324,Praça da Rua Jatobá,Praça,Cohab,Rua Arco Verde / Rua Sao Vicente Ferrer,-8.123667543,-34.94645226
325,Praça Vitória do Povo,Praça,Cohab,Rua Jordania,-8.118321894,-34.94616099
326,Praça Geraldo Vilas Boas,Praça,Cohab,Rua Padre Manuel Ribeiro Da Rocha / R Barbara Heliodora / R Jose Do Patrocinio / R Cupertino Cintra,-8.131276898,-34.94911435
327,Praça Dalva de Oliveira,Praça,Cohab,Rua Guaranta / Rua Tocantinopolis / Rua Neopolis / Rua Sao Bento Do Una,-8.116224924,-34.94646448
328,Praça da rua Quintino Bocaiuva,Praça,Ipsep,Rua Barao De Jaqui/Rua Comandante Garcia D'Avilla/R Quintino Bocaiuva/R Orestes Barbosa,-8.115533124,-34.91762026
329,Praça da Rua Clotilde de Machado I e II,Praça,Ipsep,Rua Pintor Antonio Albuquerque/Rua Clotilde Machado/Rua Itacambira,-8.107275838,-34.92177898
330,Praça da Rua Clotilde de Machado I e II,Praça,Ipsep,Rua Itacambira/Rua Clotilde Machado/Rua Irapua,-8.107671976,-34.92143116
331,Praça professor Jeronimo Gueiros,Praça,Jordao,Rua Joraci Camargo / Rua Pianco / Rua Santa Agda / Rua Tamara,-8.13499924,-34.9400395
332,Praça da rua José Rodrigues,Praça,Pina,Rua Jose Rodrigues,-8.090992837,-34.89257984
333,Praça da rua Guarabira,Praça,Imbiribeira,Rua Antonio Paes Barreto/ Rua Jose Da Silva Lucena / Rua Guarabira / Rua Sargento Silvino De Macedo,-8.114097516,-34.9074951
334,Praça Campo de pelada Carlos Rios,Praça,Imbiribeira,/ Rua Moacir Albuquerque,-8.085727266,-34.91051676
335,Praça do Terminal de ônibus da UR-2,Praça,Cohab,Rua Monica Raposo/ Avenida Santos,-8.114574472,-34.95533183
336,Praça da Avenida Senador Robert Kennedy,Praça,Imbiribeira,Avenida Senador Robert Kennedy/Rua Condessa De Barral/ Rua Joao Ramalho/R Jose Fernandes Portugal,-8.117619511,-34.91837467
337,Praça da CHESF,Praça,Torroes,Avenida Engenheiro Abdias De Carvalho/ Rua Delmiro Gouveia Rua Quinze De Marco,-8.062636847,-34.93095874
338,Praça do Bueirão,Praça,Torre,Rua Barreto Campelo/ Rua Zilda S De Santana,-8.046109959,-34.91386863
339,Praça Jacarezinho,Praça,Campina Do Barreto,Rua Iguatu/Travessa Garibaldi,-8.018500505,-34.88289503
340,Praça Chão de Estrelas,Praça,Campina Do Barreto,Rua Doutor Elias Gomes,-8.020573233,-34.87994024
341,Praça Novaes Filho,Praça,Campina Do Barreto,Rua Iguatu/ Rua Constanca/ R Coronel Mario  Liborio,-8.016610587,-34.8819309
342,Praça do IML,Praça,Cohab,Rua Engenho Babilonia / Rua Engenho Titara / Rua Engenho Mameluco,-8.11286166,-34.94932137
343,Praça Getulio Vargas,Praça,Cordeiro,Rua Raul Morais/Avenida General San Martin/ Rua Tomaz Gonzaga,-8.054004913,-34.92272441
344,Praça Santa Lucia,Praça,Iputinga,Avenida Mauricio De Nassau/ R Santa Lucia/ Trv Santa Lucia,-8.039151075,-34.93011995
345,Praça Chico Scince,Praça,Ilha Do Retiro,Avenida Abdias De Carvalho,-8.061929077,-34.90169642
346,Praça Doutor Jose de Melo,Praça,Parnamirim,Rua Padre Roma/ Rua Sebastiao Malta Arco Verde/Rua Afonso Celso,-8.032712668,-34.90740837
347,Praça Doutor Jose de Melo,Praça,Tamarineira,Rua Sebastiao Alves/ Rua Afonso Celso,-8.032659255,-34.90713144
348,Praça Alto da Serrinha,Praça,Alto Santa Terezinha,Rua Alto Da Serrinha/Rua Alto Do Tiro,-8.012648303,-34.90931455
349,Praça Alto da Serrinha,Praça,Alto Santa Terezinha,Rua Alto Da Serrinha/Rua Alto Brasil,-8.012563637,-34.90911644
350,Praça Arão Botler,Praça,Porto Da Madeira,Avenida Cidade De Monteiro/Rua Arao Botler,-8.008670426,-34.88814566
351,Praça Treze de Junho,Praça,Rosarinho,Avenida Prof Jose Dos Anjoa/ Rua Santos Dumont/R Treze De Junho,-8.028282743,-34.894669
352,Praça Treze de Junho,Praça,Rosarinho,Avenida Santoa Dumont/Rua Treze De Junho/Avenida Prof Jose Dos Anjos,-8.028376755,-34.89501515
353,Praça das Flores,Praça,Encruzilhada,Rua Euclides Fonseca/Rua Dr Jose Higino Ribeiro Campos/R Prof Joao Rodrigues,-8.033250341,-34.89383251
354,Praça Encanamento,Praça,Casa Amarela,Estrada Do Encanamento,-8.031791658,-34.91409823
355,Praça Bambu,Praça,Cohab,Rua Nova Cruz / Rua Diamantina,-8.121702686,-34.9544336
